 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
490	Pro Evolution Soccer 5	PS2	22/04/2022	/	Null	53	/				Sports	Box | Cover | Manual	Platinum
594	Pro Evolution Soccer 3	PS2	16/03/2023	/	Null	53	/				Sports		
269	Over the Hedge: Hammy Goes Nuts	PSP	21/11/2018	30/11/2018	Completed	52	1				Action	Box | Cover | Manual	
966	Cubic Ninja	3DS	11/12/2025	01/02/2026	Completed 	52	1				Puzzle | Platformer	Box | Cover | Manual	
821	Myth Makers: Orbs of Doom	PS2	09/02/2025		Not Completed	52	0				Puzzle | Platformer	Box | Cover 	
4	TMNT Mutant Melee	PS2	Before 2012		Not Completed	52	0				Fighting	Box	
384	MotorStorm	PS3	14/04/2021		Not Completed	52	0				Racing	Box | Cover | Manual	
545	Farming Simulator 14	3DS	13/10/2022	/	Null	52	/				<3	Box | Cover | Manual	
547	Fifa 14	3DS	14/10/2022	/	Null	52	/				Sports	Box | Cover | Manual	
260	Metroid Prime Hunters: First Hunt	NDS	22/08/2018	/	Null	52	/				FPS	/	
667	Destruction Derby	PS Classic	07/11/2023	/	Null	52	/				Racing	Built-in Console	
318	Pro Evolution Soccer 08	PS3	28/10/2019	/	Null	52	/				Sports	Box | Cover	
118	Oni	PS2	28/10/2015		Not Completed	51	0				TPS | Action | L	Box | Cover | Manual	
495	MX World Tour	PS2	22/04/2022		Not Completed	51	0				Racing	Box | Cover*	
347	MX vs. ATV Reflex	PS3	09/06/2020		Not Completed	51	0				Racing	Box | Cover | Manual	
411	Zoo Quest - Puzzle Fun	NDS	24/07/2021	27/07/2021	Completed	50	1				Puzzle	Box | Cover | Manual	
462	Echochrome	PSP	22/02/2022		Not Completed	50	0				Puzzle	Box | Cover | Manual	
903	Yar's Revenge	Atari FB3	13/05/2025	/	Null	50	/					Built-in	
796	Strike Force Bowling	PS2	10/12/2024	/	Null	50	/				Sports	Box | Cover | Manual	
577	Gran Turismo 5 Prologue	PS3	04/02/2022		Null	50	/				Racing	Box | Cover | Manual	
44	NBA Live 07	PSP	02/02/2013	/	Null	50	/				Sports	Box | Cover | Manual	
77	Pro Evolution Soccer 2014	PSP	17/10/2014	/	Null	50	/				Sports	Box | Cover | Manual	
179	Pro Evolution Soccer 5	PSP	19/02/2017	/	Null	50	/				Sports	Box	
170	UEFA Euro 2008	PSP	26/10/2016	/	Null	50	/				Sports	Box | Cover | Manual	
89	Wii Sports	Wii	21/04/2015	/	Null	50	/				Sports	Box   	
905	Naruto: Ninja Council - European Version	NDS	09/06/2025		Not Completed	49	0				Action	Box | Cover*	
666	Cool Boarders 2	PS Classic	07/11/2023	/	Null	49	/				Sports	Built-in Console	
847	Air-Sea Battle	Atari FB3	13/05/2025	/	Null	48	/				Action	Built-in	
741	Pool Paradise	PS2	26/06/2024	/	Null	48	/				Sports 	Box | Cover | Manual	
683	Twisted Metal	PS Classic	07/11/2023	17/11/2023	Completed	47	1				Racing	Built-in Console	
864	Fatal Run	Atari FB3	13/05/2025	/	Null	47	/				Racing	Built-in	
784	Turning Point: Fall of Liberty	PS3	08/11/2024	03/05/2025	Completed	45	1				FPS	Box | Cover | Manual	
737	Brothers in Arms: Earned in Blood	PS2	30/05/2024		Not Completed	45	0				FPS	Box | Cover | Manual	
768	Brink	PS3	12/09/2024		Not Completed	45	0				FPS	Box | Cover | Manual	
366	Call of Duty: Black Ops III	PS3	19/10/2020	/	Null	45	/				FPS	Box | Cover | Manual	
86	Pro Evolution Soccer 2010	Wii	21/04/2015	/	Null	45	/				Sports	Box | Cover 	
88	Wii Party	Wii	21/04/2015	/	Null	45	/				Party	Box | Cover | Manual	
609	Tom Clancy's Splinter Cell: Chaos Theory	NDS	29/05/2023		Not Completed	44	0				Stealth | Action	Box | Cover	
80	James Cameron's AVATAR: The Game	PSP	26/12/2014	15/01/2015	Completed	43	1				Action	Box | Cover | Manual	Essentials
138	Fifa 08	PS2	27/02/2016	/	Null	43	/				Sports	Box	
322	Fifa 08	PS3	06/12/2019	/	Null	43	/				Sports	Box | Cover | Manual	
765	LOST	PS3	12/09/2024	12/10/2024	Completed	42	1				Action | Adventure	Box | Cover | Manual	
729	Whiplash	PS2	30/05/2024		Not Completed	42	0				Action | Adventure	Box | Cover | Manual	
857	Circus Atari	Atari FB3	13/05/2025	/	Null	42	/					Built-in	
712	FIFA 09	PSP	09/04/2024	/	Null	42	/				Sports	Box | Cover | Manual	
805	Top Angler	PS2	10/12/2024	/	Null	41	/				Sports	Box | Cover | Manual	
855	Centipede	Atari FB3	13/05/2025	/	Null	40	/					Built-in	
102	The Sims 2: Pets	NDS	23/06/2015	/	Null	40	/					/	
562	Buzz!: The Pop Quiz	PS2	27/11/2022	/	Null	40	/				Party	Box | Cover | Manual	
145	Buzz!: The Music Quiz	PS2	20/07/2016	/	Null	40	/				Party	Box | Cover | Manual	
502	Grand Prix Challenge	PS2	19/05/2022	/	Null	40	/				Racing	Box | Cover | Manual	
251	International Superstar Soccer	PS2	17/08/2018	/	Null	40	/				Sports	Box	
789	Outlaw Golf	PS2	10/12/2024	/	Null	40	0				Sports	Box | Cover | Manual	
877	Night Driver	Atari FB3	13/05/2025	/	Racing	40	/					Built-in	
465	Bodycount	PS3	16/03/2022	22/07/2022	Completed	39	1				FPS | <3	Box | Cover | Manual	
172	SOCOM: U.S. Navy SEALs Tactical Strike	PSP	26/10/2016		Not Completed	39	0				TPS | Strategy	Box | Cover | Manual	
11	Dancing Stage Fever	PS1	Before 2012	/	Null	39	/			#4 PS1	Party 	Manual	
268	Fifa 08	PSP	21/11/2018	/	Null	39	/				Sports	Box | Cover	
18	Sonic Rush	NDS	Day 1 2012		Not Completed	37	0				Platformer	/	
575	F1 2011	PS3	04/02/2022		Null	37	/				Racing	Box | Cover | Manual	
870	Hangman	Atari FB3	13/05/2025	/	Null	36	/				Party	Built-in	
356	Star Wars: Jedi Power Battles	GBA	08/07/2020		Not Completed	35	0				Platformer | Action	/	
480	Buzz! Junior: Ace Racers	PS2	22/04/2022	/	Null	35	/				Party 	Box | Cover | Manual	
571	Formula One Championship Edition	PS3	04/02/2022		Null	35	/				Racing	Box | Cover | Manual	
177	Mystery Places: The Secret of the Hildegards	PC	04/02/2017	20/02/2017	Completed	32	1				Puzzle	Box | Cover	
901	Video Pinball	Atari FB3	13/05/2025	/	Null	32	/				Sports	Built-in	
15	Spider-Man 2	NDS	Day 1 2012		Not Completed	31	0				Platformer	/	
675	Rayman	PS Classic	07/11/2023	02/12/2024	Completed	30	1				Platformer	Built-in Console	
147	The Fast and the Furious	PS2	20/07/2016		Not Completed	30	0	2			Racing	Box | Cover	
276	Fallout: Brotherhood of Steel	PS2	21/02/2019		Not Completed	30	0				RPG | <3 | Action	Box | Cover 	
256	Euro Demo 01/99	PS1	17/08/2018	/	Null	30	/					/	
171	The Sims 2 Pets	PSP	26/10/2016	/	Null	30	/					Box | Cover 	
506	UEFA EURO 2004	PS2	19/05/2022		Null	28	/				Sports	Box | Cover | Manual	
178	Art of Murder: Cards of Destiny	PC	04/02/2017		Not Completed	27	0				Puzzle	Box | Cover | Manual	
625	Fighting Fury	PS2	30/06/2023	/	Null	26	/				Fighting	Box | Cover	
436	Benjamin the Elephant: A Day at the Zoo	NDS	30/10/2021	01/11/2021	Completed	25	1				Puzzle | <3	Box | Cover | Manual	
212	Army Men: Soldiers of Misfortune	NDS	09/01/2018		Not Completed	25	0				TPS	Box | Cover | Manual	
420	Hitman 2: Silent Assassin	PS2	18/08/2021		Not Completed	25	0				Action | Stealth	Box | Cover 	
26	Field Commander	PSP	Day 1 2012		Not Completed	25	0				Strategy	Box | Cover	
42	Lemmings	PSP	02/02/2013		Not Completed	25	0				Strategy	Box | Cover | Manual	Platinum
14	Tangled	NDS	Day 1 2012	Not Registered	Completed	23	1				Adventure	/	
844	3D Tic-Tac-Toe	Atari FB3	13/05/2025	/	Null	23	/				Party	Built-in	
156	Mike Tyson - Heavyweight Boxing	PS2	21/08/2016	/	Null	23	/				Sports	/	
