 	Game Name	Platform	Date Of Acquiry	Date Of Completion	Status	Rating	Times Completed	%	Time	Note	Genre	Condition	Edition
582	Tenchi wo Kurau II - Shokatsu Kōmei Den	Famicom	11/02/2023	/	Unplayable		/				RPG	Box | Cover	
247	Age of Empires Collector's Edition	PC	17/08/2018	/	Unplayable		/				Strategy	Box | Cover	Xplosiv
8	Age Of Mythology	PC	Before 2012	/	Unplayable		/				Strategy	Box | Cover*	
426	Call of Duty	PC	19/08/2021	/	Unplayable		/				FPS	Box | Cover | Manual	
248	Medieval II: Total War	PC	17/08/2018	/	Unplayable		/				Strategy	Box | Cover	Gold Edition
174	Painkiller Resurrection	PC	28/01/2017	/	Unplayable		/				FPS	Box | Cover	
149	Painkiller: Overdose	PC	15/08/2016	/	Unplayable		/				FPS	Box | Cover	
203	The Club	PC	26/08/2017	/	Unplayable		/				FPS	Box | Cover | Manual	
117	The Sims 2: Deluxe	PC	15/09/2015	/	Unplayable		/					Box | Cover	
207	Top Trumps Adventures: Horror and Predators	PC	17/10/2017	/	Unplayable		/				Strategy	Box | Manual	
154	Far Cry	PC	21/08/2016	/	Unplayable		/				FPS	Box	
12	Mafia II	PC	Day 1 2012	/	Unplayable		/				Action | Adventure	Box | Cover	
7	Worms: Armaggedon	PC	Before 2012	/	Unplayable		/				Strategy	Box | Cover*	Sold Out Software
414	Driver	PS1	26/07/2021	/	Unplayable		/				Racing	Box | Cover | Manual	
413	Final Fantasy VII	PS1	26/07/2021	/	Unplayable		/				RPG	Box | Cover | Manual	
155	W SmackDown 2	PS1	21/08/2016	/	Unplayable		/				Sports | Fighting	/	Platinum
806	Lake Masters Ex	PS2	10/12/2024	/	Unplayable		/				Sports	Box | Cover | Manual	
837	Medal of Honor: Vanguard	PS2	22/03/2025		Unplayable		/				FPS		
794	EyeToy: Play Astro Zoo	PS2	10/12/2024	/	Unplayable		/				Party	Box | Cover | Manual	
255	Fifa 06	PS2	17/08/2018	/	Unplayable		/				Sports	Box | Cover | Manual	Platinum
110	The Sims 2	PS2	15/09/2015	/	Unplayable		/					Box | Cover | Manual	Platinum
254	EyeToy Play	PS2	17/08/2018	/	Unplayable		/				Party	Box | Cover | Manual	
497	Fifa 07	PS2	19/05/2022	/	Unplayable		/				Sports	Box | Cover | Manual	
492	Fifa Football 2004	PS2	22/04/2022	/	Unplayable		/				Sports	Box | Cover	
249	MotoGP 3	PS2	17/08/2018	/	Unplayable		/				Racing	/	
252	SWAT Global Strike Team	PS2	17/08/2018	/	Unplayable		/				FPS	Box	
632	Samurai Warriors 2 Xtreme Legends	PS2	07/08/2023	/	Unplayable		/				Action | H&S	Box | Cover | Manual	
447	Devil May Cry 4	PS3	14/12/2021	/	Unplayable		/				Action | H&S	Box | Cover	
314	MAG	PS3	28/10/2019	/	Unplayable		/				FPS	Box | Cover | Manual	
747	Need for Speed: Hot Pursuit	PS3	23/07/2024	/	Unplayable		/				Racing	Box | Cover | Manual	Limited Edition
391	Tony Hawk: Shred	PS3	14/04/2021	/	Unplayable		/				Sports	Box | Cover	
530	MotorStorm: Arctic Edge	PSP	27/08/2022	/	Unplayable		/				Racing	Box | Cover 	Collectors Edition
713	Sonic Rivals	PSP	09/04/2024	/	Unplayable		/				Platformer | Racing	Box | Cover | Manual	
304	Gran Turismo	PSP	30/08/2019	/	Unplayable		/				Racing	/	
524	Medal of Honor: Heroes 2	Wii	16/08/2022	/	Unplayable		/				FPS	Box | Cover	
448	Animal Crossing: City Folk	Wii	19/12/2021	/	Unplayable		/				<3	Box | Cover	
51	Prototype 2	X360	Late 2013 - Early 2014	/	Unplayable		/				Action | Adventure	Box | Cover 	
409	Dino Crisis 3	XBOX	24/07/2021	/	Unplayable		/				Action | Adventure	Box | Cover | Manual	
707	Frame Gride	Dreamcast	13/12/2023	/	Unplayable 		/				Fighting	Box | Cover | Manual	
706	Psychic Force 2012	Dreamcast	13/12/2023	/	Unplayable 		/				Fighting	Box | Cover | Manual	
557	Gran Turismo 5: Academy Edition	PS3	04/11/2022	/	Unrateable		/				Racing	Box | Cover | Manual	
