Septebmber 2026					
Deus Ex: Human Revolution 	PS3	✅	Completed: 5	Bought: 6	
					
March 2025					
			XIII	PS2	✅
			Seek and Destroy	PS2	✅
			Underworld: The Eternal War	PS2	✅
			One Piece: Romance Dawn	3DS	⏳
			Star Trek	PS3	✅
			Condemned 2: Bloodshot	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Tomb Raider	PS3	✅	Completed: 5	Bought: 8	
					
February 2025					
			Outlaw Golf	PS2	➖
			Neverdead	PS3	✅
			Star Wars: The Force Unleashed II	NDS	✅
			One Piece: Romance Dawn	3DS	⏳
			XIII	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Medal of Honor: Frontline	PS2	✅	Completed: 3	Bought: 17	
					
January 2025					
			Super Monkey Ball Adventure	PSP	⏳
			Brink	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Fallout 4	PS4	✅	Completed: 1	Bought: 0	
					
December 2024					
			Rayman	PS Classic	✅
			Jumping Flash	PS Classic	✅
			Strike Force Bowling	PS2	➖
			Top Angler	PS2	➖
			Risk: Global Domination	PS2	➖
			Fruit Machine Mania	PS2	➖
			Pro Evolution Soccer 2013	PS3	➖
			Fifa Street	PS3	➖
			Mortal Kombat vs DC Universe	PS3	✅
					
					
					
					
					
					
					
					
					
					
					
Diablo III	PS3	✅	Completed: 4	Bought: 25	
					
November 2024					
			Batman: Arkham Origins - Blackgate	3DS	✅
			Link's Crossbow Training	Wii	✅
			Oddworld: Abe’s Oddysee	PS Classic	✅
			Ridge Racer Type 4	PS Classic	✅
			Tom Clancy’s Rainbow Six	PS Classic	✅
			Rayman	PS Classic	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Kessen III	PS2	✅	Completed: 6	Bought: 4	
					
October 2024					
			Dead Space 2	PS3	✅
			Dead Space 3	PS3	✅
			LOST	PS3	✅
			Zone of the Enders: The 2nd Runner	PS2	✅
			Burnout Dominator	PS2	⏳
			Batman: Arkham Origins - Blackgate	3DS	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
The Saboteur	PS3	✅	Completed: 5	Bought: 1	
					
September 2024					
			Dead Space	PS3	✅
			Speed Racer: The Videogame	NDS	✅
			X-Men: The Official Game	NDS	✅
			Pro Evolution Soccer 2011 3D	3DS	➖
			James Noir's Hollywood Mystery 3D	3DS	✅
			Batman: Arkham Origins - Blackgate	3DS	⏳
			Dead Space 2	PS3	⏳
			NBA Street Vol. 2	GCN	➖
					
					
					
					
					
					
					
					
					
					
					
					
Yo-Kai Watch 2: Fleshy Souls	3DS	✅	Completed: 5	Bought: 32	
					
August 2024					
			Yakuza	PS2	✅
			Lego Pirates of the Caribbean: The Video Game	Wii	✅
			Samurai Warriors: Katana	Wii	✅
			Dead Space	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Uncharted 3: Drake's Deception 	PS3	✅	Completed: 4	Bought: 2	
					
July 2024					
			LEGO Marvel Super Heroes: Universe in Peril	3DS	✅
			Hitman 2: Silent Assassin	PS2	⏳
			Whiplash	PS2	⏳
			Pool Paradise	PS2	➖
			50 Cent: Bulletproof	PS2	✅
			Psyvariar	PS2	✅
			Samurai Warriors 2 Empires	PS2	✅
			Yakuza	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
Need for Speed: Most Wanted	PS2	⏳	Completed: 4	Bought: 7	
					
June 2024					
			Phantasy Star Portable	PSP	✅
			Samurai Warriors 2	PS2	✅
			Blood Bowl	NDS	➖
			LEGO Marvel Super Heroes: Universe in Peril	3DS	⏳
			Evolve	PS4	✅
			Uncharted 4: A Thief's End	PS4	✅
			NBA 08	PS2	➖
					
					
					
					
					
					
					
					
					
					
					
					
					
Odin Sphere	PS2	✅	Completed: 5	Bought: 4	
					
May 2024					
			The Last of Us	PS3	✅
			Lumines	PSP	➖
			Smash Court Tennis 3	PSP	➖
			FIFA 09	PSP	➖
			Samurai Warriors 2	PS2	⏳
			Bayonetta	PS3	✅
			Odin Sphere	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
Phantasy Star Portable	PSP	⏳	Completed: 2	Bought: 21	
					
April 2024					
			Fallout 3 Game of the Year Edition	PS3	✨
			Codename S.T.E.A.M.	3DS	⏳
			Samurai Warriors 2	PS2	⏳
			Need for Speed: Most Wanted	PS3	✨
			The Walking Dead: Season 2	PS3	✅
			PlayStation All-Stars Battle Royale	PS3	✅
			Lumines	PSP	➖
			The Last of Us	PS3	⏳
					
					
					
					
					
					
					
					
					
					
					
					
Middle-earth: Shadow of Mordor	PS3	✅	Completed: 3	Bought: 6	
					
March 2024					
			Need for Speed: Most Wanted	PS3	✅
			Call of Duty 2: Big Red One	PS2	✅
			Samurai Warriors 2	PS2	⏳
			Army of Two: The 40th Day	PSP	✅
			Grand Theft Auto IV	PS3	✨
			Ratchet: Gladiator	PS2	✅
			Alone in the Dark: The New Nightmare	PS2	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
Fallout 3 Game of the Year Edition	PS3	✅	Completed: 5	Bought: 3	
					
February 2024					
			Resident Evil Revelations 2	PS3	✨
			Grand Theft Auto IV	PS3	✅
			Samurai Warriors 2	PS2	⏳
			Murdered: Soul Suspect	PS3	✅
			Anarchy Reigns	PS3	✅
			Army of Two: The 40th Day	PSP	⏳
					
					
					
					
					
					
					
					
					
					
					
					
					
					
One Piece: Unlimited Cruise SP 2	3DS	✅	Completed: 4	Bought: 0	
					
January 2024					
			The Amazing Spider-Man 	3DS	⏳
			Samurai Warriors 2	PS2	⏳
			Resident Evil Revelations 2	PS3	✨
			One Piece: Unlimited Cruise SP 2	3DS	⏳
			Kingdom Hearts Final Mix	PS3	✅
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Castlevania: Lords of Shadow	PS3	✅	Completed: 2	Bought: 0	
					
December 2023					
			Revelations: Persona	PS Classic	✅
