-																																																			
	All-Time Categories																																																		
	2022 Best-Of																																																		
	Category: Game of the Year 2022 Winner	Category: Game of the Year 2022 Runner-Up	Category: Game of the Year 2022 Third Place	Category: Favourite Platinum 2022	Category: Co-op GOTY 2022	Category: Biggest Surprise 2022	Category: Biggest Dissapointment 2022	Category: Console of the Year 2022	Category: Best Non-English Game 2022	Category: Best Game Not Finished 2022	Category: Best Game in 🐥 Opinion 2022	Category: Best Game of Q1 2022	Category: Best Game of Q2 2022	Category: Best Game of Q3 2022	Category: Best Game of Q4 2022	Category: Most Memorable Moment 2022	Category: Best Cover Art 2022	Category: PS1 GOTY 2022	Category: PS Classic GOTY 2022	Category: PS2 GOTY 2022	Category: PS3 GOTY 2022	Category: PS4 GOTY 2022	Category: Wii GOTY 2022	Category: 3DS GOTY 2022	Category: DS GOTY 2022	Category: GCN GOTY 2022	Category: SNES Classic GOTY 2022	Category: PSP GOTY 2022	Category: VITA GOTY 2022	Category: Atari FB GOTY 2022	Category: PC GOTY 2022	Category: FPS GOTY 2022	Category: TPS GOTY 2022	Category: Horror GOTY 2022	Category: Racing Game GOTY 2022	Category: Fighting Game GOTY 2022	Category: RPG GOTY 2022	Category: Platformer GOTY 2022	Category: Action Game GOTY 2022	Category: Adventure Game GOTY 2022	Category: Stealth Game GOTY 2022	Category: Hack&Slash Game GOTY 2022	Category: Puzzle Game GOTY 2022	Category: Strategy Game GOTY 2022	Category: Sports Game GOTY 2022	Category: Party Game GOTY 2022	Category: Open World GOTY 2022	Category: Games from Slavica GOTY 2022		Highlights, Stats & Changes 2022	
																																																		 Games Completed: 46  Games Bought: 124  Consoles Bought: 3DS, Zelda Game&Watch  Multiple GOTM Winners: Kingdoms of Amalur: Reckoning [PS3]	
	Kingdoms of Amalur: Reckoning [PS3]	Yo-kai Watch [3DS]	Saints Row IV [PS3]	Falling Skies: The Game [PS3]	Motorstorm: Pacific Rift [PS3]	Falling Skies: The Game [PS3]	Devil May Cry [PS2]	PlayStation 3	/	Street Fighter IV [PS3]	Kingdoms of Amalur: Reckoning [PS3]	Kingdoms of Amalur: Reckoning [PS3]	Metal Gear Solid 4: Guns of the Patriots [PS3]	Saints Row IV [PS3]	Yo-kai Watch [3DS]	Final Gold - MotorStorm: Pacific Rift [PS3]	Final Fantasy XII [PS2]	/	/	Thrillville: Off The Rails [PS2]	Kingdom of Amalur: Reckoning [PS3]	/	Wii Fit Plus [Wii]	Yo-kai Watch [3DS]	Lost in Blue 3	/	/	Championship Manager [PSP]	/	/	/	Bioshock Infinite [PS3]	Resident Evil Revelations [PS3]	Resident Evil Revelations [PS3]	Need for Speed: The Run [PS3]	Tekken 6 [PS3]	Kingdoms of Amalur: Reckoning [PS3]	New Super Mario Bros. 2 [3DS]	Kingdoms of Amalur: Reckoning [PS3]	Saints Row IV [PS3]	Metal Gear Solid 4: Guns of the Patriots [PS3]	Devil May Cry [PS2]	The Da Vinci Code [PS2]	Falling Skies: The Game [PS3]	SSX On Tour [PS2]	Buzz! Junior: Monster Rumble [PS2]	Kingdoms of Amalur: Reckoning [PS3]	Yo-Kai Watch [3DS]			
	2021 Best-Of																																																		
	Category: Game of the Year 2021 Winner	Category: Game of the Year 2021 Runner-Up	Category: Game of the Year 2021 Third Place	Category: Favourite Platinum 2021	Category: Co-op GOTY 2021	Category: Biggest Surprise 2021	Category: Biggest Dissapointment 2021	Category: Console of the Year 2021	Category: Best Non-English Game 2021	Category: Best Game Not Finished 2021	Category: Best Game in 🐥 Opinion 2021	Category: Best Game of Q1 2021	Category: Best Game of Q2 2021	Category: Best Game of Q3 2021	Category: Best Game of Q4 2021	Category: Most Memorable Moment 2021	Category: Best Cover Art 2021	Category: PS1 GOTY 2021	Category: PS Classic GOTY 2021	Category: PS2 GOTY 2021	Category: PS3 GOTY 2021	Category: PS4 GOTY 2021	Category: Wii GOTY 2021	Category: 3DS GOTY 2021	Category: DS GOTY 2021	Category: GCN GOTY 2021	Category: SNES Classic GOTY 2021	Category: PSP GOTY 2021	Category: VITA GOTY 2021	Category: Atari FB GOTY 2021	Category: PC GOTY 2021	Category: FPS GOTY 2021	Category: TPS GOTY 2021	Category: Horror GOTY 2021	Category: Racing Game GOTY 2021	Category: Fighting Game GOTY 2021	Category: RPG GOTY 2021	Category: Platformer GOTY 2021	Category: Action Game GOTY 2021	Category: Adventure Game GOTY 2021	Category: Stealth Game GOTY 2021	Category: Hack&Slash Game GOTY 2021	Category: Puzzle Game GOTY 2021	Category: Strategy Game GOTY 2021	Category: Sports Game GOTY 2021	Category: Party Game GOTY 2021	Category: Open World GOTY 2021	Category: Games from Slavica GOTY 2021		Highlights, Stats & Changes 2021	
																																																		 Games Completed: 40  Games Bought: 78  Consoles Bought: DS Lite	
	Bully [PS2]	MadWorld [Wii]	Cursed Mountain [Wii]	/	Wild Earth: African Safari [Wii]	Anno: Create a New World [NDS]	Scribblenauts [NDS]	Nintendo Wii	Dino Crisis [PS1]	Metroid Prime 3: Corruption [Wii]	Cursed Mountain [Wii]	Pokemon White [NDS]	Resistance: Fall of Man [PS3]	Madworld [Wii]	Bully [PS2]	Beating Frank on Video - MadWorld [Wii]	Bioshock Infinite [PS3]	Dino Crisis [PS1]	/	Bully [PS2]	Darksiders II [PS3]	/	MadWorld [Wii]	/	Pokemon White [NDS]	/	/	Star Wars: The Force Unleashed [PSP]	/	/	/	Resistance: Fall of Man [PS3]	Wet [PS3]	Cursed Mountain [Wii]	Jak X: Combat Racing [PS2]	Naruto Shippuden: Ultimate Ninja Storm 2 [PS3]	Key of Heaven [PSP]	Rayman Origins [Wii]	Bully [PS2]	Bully [PS2]	Manhunt 2 [PS2]	MadWorld [Wii]	Mahjongg DS [NDS]	Kessen II [PS2]	Pro Evolution Soccer 2010 [PS3]	Just Dance 3 [Wii]	Bully [PS2]	Pokemon White [NDS]			
	2020 Best-Of																																																		
	Category: Game of the Year 2020 Winner	Category: Game of the Year 2020 Runner-Up	Category: Game of the Year 2020 Third Place	Category: Favourite Platinum 2020	Category: Co-op GOTY 2020	Category: Biggest Surprise 2020	Category: Biggest Dissapointment 2020	Category: Console of the Year 2020	Category: Best Non-English Game 2020	Category: Best Game Not Finished 2020	Category: Best Game in 🐥 Opinion 2020	Category: Best Game of Q1 2020	Category: Best Game of Q2 2020	Category: Best Game of Q3 2020	Category: Best Game of Q4 2020	Category: Most Memorable Moment 2020	Category: Best Cover Art 2020	Category: PS1 GOTY 2020	Category: PS Classic GOTY 2020	Category: PS2 GOTY 2020	Category: PS3 GOTY 2020	Category: PS4 GOTY 2020	Category: Wii GOTY 2020	Category: 3DS GOTY 2020	Category: DS GOTY 2020	Category: GCN GOTY 2020	Category: SNES Classic GOTY 2020	Category: PSP GOTY 2020	Category: VITA GOTY 2020	Category: Atari FB GOTY 2020	Category: PC GOTY 2020	Category: FPS GOTY 2020	Category: TPS GOTY 2020	Category: Horror GOTY 2020	Category: Racing Game GOTY 2020	Category: Fighting Game GOTY 2020	Category: RPG GOTY 2020	Category: Platformer GOTY 2020	Category: Action Game GOTY 2020	Category: Adventure Game GOTY 2020	Category: Stealth Game GOTY 2020	Category: Hack&Slash Game GOTY 2020	Category: Puzzle Game GOTY 2020	Category: Strategy Game GOTY 2020	Category: Sports Game GOTY 2020	Category: Party Game GOTY 2020	Category: Open World GOTY 2020	Category: Games from Slavica GOTY 2020		Highlights, Stats & Changes 2020	
